0115=1925年1月15日 东征宣言
0115=1919年1月15日 李卜克内西和卢森堡被杀
0115=1919年1月15日 陈独秀提倡“德先生”、“赛先生”
0115=1622年1月15日 法国作家莫里哀诞辰
0116=1986年1月16日 胡愈之逝世
0116=1980年1月16日 邓小平提出80年代抓好三件事
0116=1979年1月16日 伊朗巴列维王朝被推翻
0116=1975年1月16日 葡萄牙同意安哥拉独立
0116=1969年1月16日 苏联两艘宇宙飞船第一次完成空中对接
0116=1945年1月16日 法国将雷诺汽车公司国有化
0116=1906年1月16日 无线电发明家波波夫逝世
0116=1794年1月16日 英国史学家爱德华·吉本逝世
0117=2000年1月17日 “好学生”徐力不堪忍受学习重负杀死生母
0117=1997年1月17日 国家电力公司成立
0117=1995年1月17日 日本阪神发生大地震
0117=1991年1月17日 “沙漠风暴”行动开始
0117=1989年1月17日 首届陈嘉庚奖金颁奖
0117=1945年1月17日 瓦伦堡事件
0117=1933年1月17日 中共发布宣言：停止内战　一致抗日
0117=1931年1月17日 左联五位作家被捕
0117=1923年1月17日 蔡元培愤而辞去北大校长职务
0117=1897年1月17日 谭嗣同重要哲学著作《仁学》编写完成
0117=1706年1月17日 美国作家、科学家富兰克林诞辰
0117=1600年1月17日 西班牙著名剧作家卡尔德隆诞辰
0117=395年1月17日 罗马帝国分裂为东、西罗马帝国
0118=1992年1月18日 邓小平南巡
0118=1988年1月18日 西南航空公司一客机在重庆失事108人罹难
0118=1974年1月18日 “批林批孔”运动开始
0118=1950年1月18日 我国与越南建交
0118=1944年1月18日 苏军终于解除了列宁格勒之围
0118=1919年1月18日 巴黎和会召开
0118=1918年1月18日 威尔逊提出解决战后问题的14点方案
0118=1915年1月18日 日本向中国提出“21条要求”
0118=1911年1月18日 黄兴在香港设置广州起义总指挥部
0118=1871年1月18日 德意志帝国建立
0118=1689年1月18日 资产阶级国家学说的奠基人——孟德斯鸠
0119=1988年1月19日 由台湾组织的第一个台湾返乡探亲团抵达北京
0119=1975年1月19日 人民日报报道我国有近1000万知识青年上山下乡
0119=1949年1月19日 俄国作家绥拉菲莫维奇逝世
0119=1946年1月19日 远东国际军事法庭成立
0119=1931年1月19日 联合国副秘书长明石康诞辰
0119=1929年1月19日 梁启超逝世
0119=1904年1月19日 著名人类学家裴文中诞辰
0119=1736年1月19日 著名科学家瓦特诞辰
0120=1998年1月20日 第八世夏茸尕布活佛转世灵童认定
0120=1993年1月20日 克林顿入主白宫
0120=1992年1月20日 我国与白俄罗斯建交
0120=1986年1月20日 《中华人民共和国渔业法》通过并予公布
0120=1981年1月20日 全国首届十佳运动员评选揭晓
0120=1977年1月20日 美国第39任总统卡特就职
0120=1975年1月20日 美最大的汽车生产商削价销售汽车
0120=1974年1月20日 西沙群岛自卫反击战
0120=1969年1月20日 美国第37任总统尼克松就职
0120=1961年1月20日 中共中央关于调整国家管理体制的暂行规定
0120=1961年1月20日 美国第35任总统肯尼迪就职
0120=1955年1月20日 我国与阿富汗建交
0120=1953年1月20日 美国第34任总统艾森豪威尔就职
0120=1941年1月20日 中共重建新四军军部
0120=1934年1月20日 伪满实行帝制溥仪又当皇帝
0120=1924年1月20日 中国国民党第一次全国代表大会召开
0120=1892年1月20日 最早发现放射性的人——贝克勒尔
0120=1861年1月20日 清设立总理各国事务衙门
0121=2002年1月21日 援阿重建国际会议开幕
0121=1996年1月21日 北京西站开通运营
0121=1991年1月21日 周培源奖用金设立
0121=1977年1月21日 西藏昌都地区首次发现恐龙化石
0121=1976年1月21日 毛泽东提议华国锋任国务院代总理并主持中央日常工作
0121=1960年1月21日 人类第一次将动物送入太空
0121=1954年1月21日 世界第一艘核潜艇——“鹦鹉螺”号下水
0121=1951年1月21日 阿尔卑斯山发生巨大雪崩死亡329人
0121=1949年1月21日 蒋介石宣布引退
0121=1937年1月21日 抗日红军大学易名抗日军政大学
0121=1936年1月21日 “爱江山还是爱美人”——英王爱德华八世的痛苦选择
0121=1934年1月21日 中华苏维埃第二次全国代表大会召开
0121=1924年1月21日 列宁逝世
0121=1870年1月21日 俄国杰出的哲学家、思想家、作家赫尔岑逝世
0121=1793年1月21日 法王路易十六被送上断头台
0122=1998年1月22日 美巴首脑会谈讨论挽救中东和平进程的问题
0122=1997年1月22日 奥尔布赖特出任美国首位女国务卿
0122=1973年1月22日 美国总统约翰逊逝世
0122=1963年1月22日 甲壳虫乐队开始风靡英国
